ID,Prix,Quantite,Remise,CA_Brut,CA_Net,TVA
1070,263.33,2,30,526.66,368.662,73.7324
1071,154.59,3,15,463.77,394.2045,78.8409
1072,440.78,1,30,440.78,308.54599999999994,61.70919999999999
1073,373.51,45,0,16807.95,16807.95,3361.59
1074,490.56,9,10,4415.04,3973.536,794.7072000000001
1075,280.09,37,5,10363.33,9845.163499999999,1969.0326999999997
1076,464.55,23,20,10684.65,8547.72,1709.5439999999999
1077,287.19,34,15,9764.46,8299.791,1659.9582
1078,210.87,13,15,2741.31,2330.1135,466.0227
1079,100.25,31,5,3107.75,2952.3624999999997,590.4725
1080,480.4,4,15,1921.6,1633.36,326.672
1081,263.22,8,0,2105.76,2105.76,421.15200000000004
1082,170.92,18,0,3076.56,3076.56,615.312
1083,445.46,12,10,5345.5199999999995,4810.968,962.1936000000001
1084,347.07,32,5,11106.24,10550.928,2110.1856000000002
1085,228.49,47,30,10739.03,7517.321,1503.4642000000001
1086,247.29,16,20,3956.64,3165.312,633.0624
1087,246.34,44,5,10838.960000000001,10297.012,2059.4024000000004
1088,370.31,22,15,8146.82,6924.797,1384.9594
1089,38.38,49,15,1880.6200000000001,1598.527,319.70540000000005
1090,268.64,5,15,1343.1999999999998,1141.7199999999998,228.34399999999997
1091,213.71,18,15,3846.78,3269.763,653.9526000000001
1092,381.41,23,10,8772.43,7895.187000000001,1579.0374000000002
1093,57.98,16,30,927.68,649.376,129.8752
1094,310.32,7,30,2172.24,1520.5679999999998,304.11359999999996
1095,312.99,21,5,6572.79,6244.1505,1248.8301000000001
1096,44.43,7,0,311.01,311.01,62.202
1097,349.99,18,15,6299.82,5354.847,1070.9694
1098,247.0,45,30,11115.0,7780.499999999999,1556.1
1099,232.1,1,5,232.1,220.49499999999998,44.099
1100,138.19,28,20,3869.3199999999997,3095.456,619.0912000000001
1101,60.92,49,0,2985.08,2985.08,597.016
1102,133.54,5,5,667.6999999999999,634.3149999999999,126.863
1103,19.06,16,10,304.96,274.464,54.8928
1104,250.49,15,30,3757.3500000000004,2630.145,526.029
1105,359.64,24,15,8631.36,7336.656,1467.3312
1106,113.66,49,30,5569.34,3898.538,779.7076000000001
1107,279.67,19,15,5313.7300000000005,4516.6705,903.3341
1108,205.46,18,0,3698.28,3698.28,739.6560000000001
1109,245.6,17,5,4175.2,3966.4399999999996,793.288
1110,365.61,42,0,15355.62,15355.62,3071.1240000000003
1111,189.99,1,5,189.99,180.4905,36.0981
1112,301.39,36,5,10850.039999999999,10307.537999999999,2061.5076
1113,231.85,38,30,8810.3,6167.209999999999,1233.442
1114,84.81,25,15,2120.25,1802.2124999999999,360.4425
1115,147.92,16,20,2366.72,1893.376,378.6752
1116,374.73,40,30,14989.2,10492.44,2098.4880000000003
1117,325.51,2,10,651.02,585.918,117.18360000000001
1118,182.87,19,30,3474.53,2432.171,486.4342
1119,371.13,31,20,11505.03,9204.024000000001,1840.8048000000003
1120,352.3,1,30,352.3,246.60999999999999,49.322
1121,314.1,45,15,14134.500000000002,12014.325,2402.8650000000002
1122,285.95,43,15,12295.85,10451.4725,2090.2945
1123,283.81,41,0,11636.210000000001,11636.210000000001,2327.242
1124,475.06,33,30,15676.98,10973.885999999999,2194.7772
1125,43.58,21,20,915.18,732.144,146.4288
1126,7.41,48,15,355.68,302.328,60.465599999999995
1127,307.65,32,30,9844.8,6891.359999999999,1378.272
1128,467.65,35,30,16367.75,11457.425,2291.485
1129,317.62,34,5,10799.08,10259.126,2051.8252
1130,405.01,29,30,11745.289999999999,8221.703,1644.3406
1131,23.06,25,5,576.5,547.675,109.535
1132,423.76,38,20,16102.88,12882.304,2576.4608000000003
1133,306.8,29,15,8897.2,7562.620000000001,1512.5240000000003
1134,159.03,48,15,7633.4400000000005,6488.424,1297.6848
1135,483.58,2,20,967.16,773.7280000000001,154.74560000000002
1136,73.65,48,10,3535.2000000000003,3181.6800000000003,636.3360000000001
1137,347.41,38,10,13201.580000000002,11881.422000000002,2376.2844000000005
1138,381.97,34,10,12986.980000000001,11688.282000000001,2337.6564000000003
1139,282.72,21,30,5937.120000000001,4155.984,831.1968000000002
1140,44.0,18,30,792.0,554.4,110.88
1141,324.0,22,0,7128.0,7128.0,1425.6000000000001
1142,216.08,8,30,1728.64,1210.048,242.0096
1143,137.34,1,10,137.34,123.60600000000001,24.721200000000003
1144,230.44,24,15,5530.5599999999995,4700.976,940.1952
1145,329.44,2,30,658.88,461.21599999999995,92.2432
1146,300.16,31,30,9304.960000000001,6513.472000000001,1302.6944000000003
1147,378.94,48,20,18189.12,14551.296,2910.2592000000004
1148,185.6,21,10,3897.6,3507.84,701.5680000000001
1149,265.05,35,20,9276.75,7421.400000000001,1484.2800000000002
1150,196.78,8,15,1574.24,1338.104,267.62080000000003
1151,363.05,20,20,7261.0,5808.8,1161.76
1152,414.97,48,20,19918.56,15934.848000000002,3186.9696000000004
1153,494.7,31,15,15335.699999999999,13035.345,2607.069
1154,294.69,16,20,4715.04,3772.032,754.4064000000001
1155,437.94,40,15,17517.6,14889.96,2977.992
1156,310.64,44,0,13668.16,13668.16,2733.632
1157,432.02,37,30,15984.74,11189.318,2237.8636
1158,223.9,42,5,9403.800000000001,8933.61,1786.7220000000002
1159,152.8,11,20,1680.8000000000002,1344.6400000000003,268.92800000000005
1160,346.17,3,30,1038.51,726.957,145.3914
1161,256.46,49,10,12566.539999999999,11309.885999999999,2261.9772
1162,191.85,33,30,6331.05,4431.735,886.347
1163,230.66,15,30,3459.9,2421.93,484.38599999999997
1164,27.2,25,30,680.0,475.99999999999994,95.19999999999999
1165,441.93,29,10,12815.97,11534.373,2306.8746
1166,183.67,1,10,183.67,165.303,33.0606
1167,353.44,32,30,11310.08,7917.056,1583.4112
1168,380.98,4,30,1523.92,1066.744,213.34879999999998
1169,389.81,31,15,12084.11,10271.4935,2054.2987000000003
1170,383.46,8,5,3067.68,2914.296,582.8592
1171,315.8,47,15,14842.6,12616.21,2523.242
1172,226.39,9,10,2037.5099999999998,1833.7589999999998,366.7518
1173,359.56,6,10,2157.36,1941.6240000000003,388.3248000000001
1174,488.47,39,0,19050.33,19050.33,3810.0660000000007
1175,427.32,38,30,16238.16,11366.712,2273.3424
1176,79.5,34,5,2703.0,2567.85,513.57
1177,6.76,9,20,60.839999999999996,48.672,9.7344
1178,204.97,27,30,5534.19,3873.9329999999995,774.7865999999999
1179,235.73,39,15,9193.47,7814.449499999999,1562.8899
1180,219.16,25,30,5479.0,3835.2999999999997,767.06
1181,219.2,40,10,8768.0,7891.2,1578.24
1182,402.61,21,5,8454.81,8032.069499999999,1606.4138999999998
1183,326.99,10,0,3269.9,3269.9,653.98
1184,30.69,38,5,1166.22,1107.9089999999999,221.5818
1185,234.06,47,0,11000.82,11000.82,2200.164
1186,134.91,36,20,4856.76,3885.4080000000004,777.0816000000001
1187,219.18,46,10,10082.28,9074.052000000001,1814.8104000000003
1188,48.63,5,30,243.15,170.20499999999998,34.041
1189,122.91,33,30,4056.0299999999997,2839.2209999999995,567.8441999999999
1190,161.12,48,15,7733.76,6573.696,1314.7392
1191,425.67,1,10,425.67,383.103,76.62060000000001
1192,13.6,11,10,149.6,134.64,26.927999999999997
1193,442.88,6,15,2657.2799999999997,2258.6879999999996,451.73759999999993
1194,434.46,41,0,17812.86,17812.86,3562.572
1195,272.03,11,15,2992.33,2543.4804999999997,508.69609999999994
1196,493.43,1,10,493.43,444.087,88.8174
1197,28.6,20,0,572.0,572.0,114.4
1198,7.02,21,10,147.42,132.678,26.535600000000002
1199,146.21,30,30,4386.3,3070.41,614.082
1200,458.6,27,0,12382.2,12382.2,2476.4400000000005
1201,298.24,30,15,8947.2,7605.120000000001,1521.0240000000003
1202,302.24,23,5,6951.52,6603.944,1320.7888000000003
1203,199.46,26,30,5185.96,3630.1719999999996,726.0344
1204,201.58,38,15,7660.040000000001,6511.034000000001,1302.2068000000002
1205,384.5,40,10,15380.0,13842.0,2768.4
1206,434.54,34,5,14774.36,14035.642,2807.1284
1207,259.76,7,30,1818.32,1272.8239999999998,254.5648
1208,62.04,41,30,2543.64,1780.5479999999998,356.1096
1209,348.05,47,10,16358.35,14722.515000000001,2944.5030000000006
1210,90.93,47,10,4273.71,3846.339,769.2678000000001
1211,306.6,49,0,15023.400000000001,15023.400000000001,3004.6800000000003
1212,10.08,27,0,272.16,272.16,54.43200000000001
1213,87.95,46,0,4045.7000000000003,4045.7000000000003,809.1400000000001
1214,297.46,6,5,1784.7599999999998,1695.5219999999997,339.10439999999994
1215,463.38,47,0,21778.86,21778.86,4355.772
1216,417.35,38,10,15859.300000000001,14273.37,2854.6740000000004
1217,214.55,21,15,4505.55,3829.7175,765.9435000000001
1218,162.05,8,10,1296.4,1166.7600000000002,233.35200000000006
1219,245.61,26,0,6385.860000000001,6385.860000000001,1277.1720000000003
1220,456.31,25,0,11407.75,11407.75,2281.55
1221,222.14,46,0,10218.439999999999,10218.439999999999,2043.6879999999999
1222,295.51,34,10,10047.34,9042.606,1808.5212000000001
1223,192.36,33,0,6347.88,6347.88,1269.576
1224,413.02,13,5,5369.26,5100.797,1020.1594
1225,75.67,50,30,3783.5,2648.45,529.6899999999999
1226,333.86,1,10,333.86,300.47400000000005,60.09480000000001
1227,216.37,50,10,10818.5,9736.65,1947.33
1228,391.74,21,15,8226.54,6992.559,1398.5118000000002
1229,266.89,26,10,6939.139999999999,6245.226,1249.0452
1230,372.82,12,10,4473.84,4026.456,805.2912000000001
1231,335.65,25,0,8391.25,8391.25,1678.25
1232,71.83,9,0,646.47,646.47,129.294
1233,416.84,39,10,16256.759999999998,14631.083999999999,2926.2168
1234,311.84,27,15,8419.679999999998,7156.727999999998,1431.3455999999996
1235,348.4,12,10,4180.799999999999,3762.7199999999993,752.5439999999999
1236,204.91,15,10,3073.65,2766.2850000000003,553.2570000000001
1237,9.44,30,20,283.2,226.56,45.312000000000005
1238,359.64,37,30,13306.68,9314.676,1862.9352
1239,9.96,22,20,219.12,175.29600000000002,35.059200000000004
1240,205.09,28,10,5742.52,5168.268000000001,1033.6536000000003
1241,184.24,18,5,3316.32,3150.504,630.1008
1242,353.42,24,20,8482.08,6785.664000000001,1357.1328000000003
1243,347.48,9,0,3127.32,3127.32,625.464
1244,395.69,25,5,9892.25,9397.637499999999,1879.5275
1245,183.86,41,0,7538.26,7538.26,1507.652
1246,108.26,47,15,5088.22,4324.987,864.9974000000001
1247,300.75,42,30,12631.5,8842.05,1768.4099999999999
1248,345.96,35,10,12108.599999999999,10897.74,2179.5480000000002
1249,237.99,29,30,6901.71,4831.197,966.2394
1250,37.29,15,0,559.35,559.35,111.87
1251,105.08,42,15,4413.36,3751.3559999999998,750.2712
1252,218.24,8,10,1745.92,1571.3280000000002,314.26560000000006
1253,115.71,29,0,3355.5899999999997,3355.5899999999997,671.1179999999999
1254,205.24,21,30,4310.04,3017.028,603.4055999999999
1255,164.22,32,30,5255.04,3678.528,735.7056
1256,446.87,25,30,11171.75,7820.224999999999,1564.045
1257,106.16,44,30,4671.04,3269.7279999999996,653.9456
1258,401.93,1,5,401.93,381.8335,76.36670000000001
1259,46.23,31,10,1433.1299999999999,1289.817,257.96340000000004
1260,14.99,23,15,344.77,293.05449999999996,58.610899999999994
1261,351.53,10,5,3515.2999999999997,3339.5349999999994,667.9069999999999
1262,145.23,32,20,4647.36,3717.888,743.5776000000001
1263,490.98,30,15,14729.400000000001,12519.990000000002,2503.9980000000005
1264,244.19,13,30,3174.47,2222.129,444.4258
1265,324.31,30,10,9729.3,8756.369999999999,1751.274
1266,371.82,45,15,16731.9,14222.115000000002,2844.4230000000007
1267,152.85,3,30,458.54999999999995,320.98499999999996,64.19699999999999
1268,453.94,14,30,6355.16,4448.611999999999,889.7223999999999
1269,93.17,2,20,186.34,149.072,29.814400000000003
1270,128.83,18,30,2318.94,1623.258,324.65160000000003
1271,10.26,43,30,441.18,308.82599999999996,61.76519999999999
1272,67.22,8,20,537.76,430.208,86.04160000000002
1273,420.32,46,0,19334.72,19334.72,3866.9440000000004
1274,471.83,26,30,12267.58,8587.305999999999,1717.4611999999997
1275,431.91,43,10,18572.13,16714.917,3342.9834000000005
1276,149.09,48,20,7156.32,5725.0560000000005,1145.0112000000001
1277,213.52,23,30,4910.96,3437.672,687.5344
1278,70.97,38,20,2696.86,2157.4880000000003,431.4976000000001
1279,313.32,9,5,2819.88,2678.886,535.7772
1280,279.88,31,20,8676.28,6941.024000000001,1388.2048000000004
1281,351.45,25,0,8786.25,8786.25,1757.25
1282,369.94,35,30,12947.9,9063.529999999999,1812.706
1283,337.32,1,20,337.32,269.856,53.9712
1284,32.39,16,10,518.24,466.416,93.28320000000001
1285,19.78,13,15,257.14,218.569,43.7138
1286,32.99,37,5,1220.63,1159.5985,231.91970000000003
1287,20.21,30,5,606.3000000000001,575.985,115.197
1288,160.83,17,10,2734.11,2460.699,492.13980000000004
1289,449.85,50,15,22492.5,19118.625,3823.7250000000004
1290,55.03,5,30,275.15,192.60499999999996,38.520999999999994
1291,282.68,26,10,7349.68,6614.712,1322.9424000000001
1292,106.3,30,10,3189.0,2870.1,574.02
1293,123.91,48,5,5947.68,5650.296,1130.0592000000001
1294,334.42,31,30,10367.02,7256.914,1451.3828
1295,488.37,25,15,12209.25,10377.8625,2075.5724999999998
1296,342.82,38,15,13027.16,11073.086,2214.6172
1297,343.07,18,10,6175.26,5557.734,1111.5468
1298,454.85,40,10,18194.0,16374.6,3274.92
1299,334.49,41,0,13714.09,13714.09,2742.818
1300,145.7,4,5,582.8,553.66,110.732
1301,283.4,26,15,7368.4,6263.139999999999,1252.628
1302,127.79,35,10,4472.650000000001,4025.3850000000007,805.0770000000002
1303,161.6,9,20,1454.3999999999999,1163.52,232.704
1304,316.39,3,0,949.17,949.17,189.834
1305,163.08,33,20,5381.64,4305.312000000001,861.0624000000003
1306,479.86,46,30,22073.56,15451.492,3090.2984
1307,484.89,1,10,484.89,436.401,87.28020000000001
1308,437.71,43,5,18821.53,17880.4535,3576.0907
1309,484.66,45,15,21809.7,18538.245,3707.649
1310,458.21,44,20,20161.239999999998,16128.991999999998,3225.7983999999997
1311,331.74,32,30,10615.68,7430.976,1486.1952
1312,129.17,33,10,4262.61,3836.3489999999997,767.2698
1313,130.33,7,0,912.3100000000001,912.3100000000001,182.46200000000002
1314,431.03,10,30,4310.299999999999,3017.209999999999,603.4419999999999
1315,317.78,29,15,9215.619999999999,7833.276999999999,1566.6553999999999
1316,366.86,17,10,6236.62,5612.958,1122.5916
1317,465.89,41,10,19101.489999999998,17191.341,3438.2682000000004
1318,355.29,5,30,1776.45,1243.5149999999999,248.70299999999997
1319,398.64,36,10,14351.039999999999,12915.936,2583.1872000000003
1320,170.91,46,0,7861.86,7861.86,1572.372
1321,387.22,48,30,18586.56,13010.592,2602.1184000000003
1322,373.52,21,10,7843.92,7059.528,1411.9056
1323,124.43,21,30,2613.03,1829.121,365.8242
1324,53.36,15,0,800.4,800.4,160.08
1325,259.87,37,15,9615.19,8172.9115,1634.5823
1326,61.49,11,0,676.39,676.39,135.278
1327,499.7,36,30,17989.2,12592.44,2518.4880000000003
1328,361.04,37,5,13358.480000000001,12690.556,2538.1112000000003
1329,38.4,24,15,921.5999999999999,783.3599999999999,156.672
1330,182.67,33,15,6028.11,5123.893499999999,1024.7786999999998
1331,232.28,41,0,9523.48,9523.48,1904.696
1332,152.65,14,10,2137.1,1923.3899999999999,384.678
1333,90.64,1,0,90.64,90.64,18.128
1334,333.08,17,10,5662.36,5096.124,1019.2248
1335,369.66,44,0,16265.04,16265.04,3253.0080000000003
1336,445.2,9,30,4006.7999999999997,2804.7599999999998,560.952
1337,217.28,29,20,6301.12,5040.896000000001,1008.1792000000002
1338,337.18,38,15,12812.84,10890.914,2178.1828
1339,30.78,33,20,1015.74,812.5920000000001,162.51840000000004
1340,186.4,3,0,559.2,559.2,111.84000000000002
1341,435.53,43,30,18727.789999999997,13109.452999999998,2621.8905999999997
1342,344.68,9,10,3102.12,2791.908,558.3816
1343,389.98,45,15,17549.100000000002,14916.735,2983.347
1344,449.84,40,10,17993.6,16194.24,3238.848
1345,285.82,26,10,7431.32,6688.188,1337.6376
1346,267.75,36,10,9639.0,8675.1,1735.0200000000002
1347,70.76,37,0,2618.1200000000003,2618.1200000000003,523.6240000000001
1348,450.95,11,5,4960.45,4712.4275,942.4855
1349,434.92,21,5,9133.32,8676.653999999999,1735.3307999999997
1350,443.07,42,20,18608.94,14887.152,2977.4304
1351,356.38,32,0,11404.16,11404.16,2280.832
1352,196.47,47,5,9234.09,8772.3855,1754.4771
1353,407.34,33,20,13442.22,10753.776,2150.7552
1354,112.55,27,20,3038.85,2431.08,486.216
1355,375.58,1,0,375.58,375.58,75.116
1356,400.5,42,15,16821.0,14297.85,2859.57
1357,24.99,9,20,224.91,179.928,35.9856
1358,432.3,15,0,6484.5,6484.5,1296.9
1359,74.01,49,5,3626.4900000000002,3445.1655,689.0331000000001
1360,356.06,19,0,6765.14,6765.14,1353.0280000000002
1361,469.21,42,30,19706.82,13794.774,2758.9548
1362,5.74,8,5,45.92,43.624,8.7248
1363,327.12,22,20,7196.64,5757.312000000001,1151.4624000000001
1364,467.91,44,10,20588.04,18529.236,3705.8472
1365,73.86,1,0,73.86,73.86,14.772
1366,361.98,20,30,7239.6,5067.72,1013.5440000000001
1367,267.72,1,5,267.72,254.334,50.866800000000005
1368,414.47,24,15,9947.28,8455.188,1691.0376
1369,394.36,8,10,3154.88,2839.3920000000003,567.8784
1370,70.14,15,0,1052.1,1052.1,210.42
1371,130.96,37,0,4845.52,4845.52,969.1040000000002
1372,423.28,10,20,4232.799999999999,3386.24,677.248
1373,93.11,30,30,2793.3,1955.31,391.062
1374,68.76,7,5,481.32000000000005,457.254,91.45080000000002
1375,55.68,33,0,1837.44,1837.44,367.48800000000006
1376,484.67,16,30,7754.72,5428.304,1085.6608
1377,275.61,45,0,12402.45,12402.45,2480.4900000000002
1378,420.22,40,10,16808.800000000003,15127.920000000004,3025.5840000000007
1379,308.24,49,5,15103.76,14348.572,2869.7144000000003
1380,124.45,1,10,124.45,112.00500000000001,22.401000000000003
1381,482.4,47,20,22672.8,18138.24,3627.6480000000006
1382,335.84,44,5,14776.96,14038.112,2807.6224
1383,327.61,28,10,9173.08,8255.772,1651.1544000000004
1384,21.33,29,10,618.5699999999999,556.713,111.3426
1385,415.64,39,5,16209.96,15399.461999999998,3079.8923999999997
1386,10.34,17,20,175.78,140.624,28.1248
1387,5.76,25,10,144.0,129.6,25.92
1388,143.21,45,20,6444.450000000001,5155.560000000001,1031.1120000000003
1389,290.74,13,0,3779.62,3779.62,755.924
1390,499.47,50,10,24973.5,22476.15,4495.2300000000005
1391,106.24,18,5,1912.32,1816.704,363.3408
1392,82.29,2,5,164.58,156.351,31.270200000000003
1393,254.84,16,20,4077.44,3261.952,652.3904000000001
1394,209.31,31,20,6488.61,5190.888,1038.1776
1395,490.0,18,10,8820.0,7938.0,1587.6000000000001
1396,339.17,4,30,1356.68,949.6759999999999,189.9352
1397,83.6,20,20,1672.0,1337.6000000000001,267.52000000000004
1398,371.62,35,5,13006.7,12356.365,2471.273
1399,293.24,27,10,7917.4800000000005,7125.732000000001,1425.1464000000003
1400,183.42,5,15,917.0999999999999,779.5349999999999,155.90699999999998
1401,446.3,27,15,12050.1,10242.585000000001,2048.5170000000003
1402,289.69,49,15,14194.81,12065.5885,2413.1177000000002
1403,310.64,31,5,9629.84,9148.348,1829.6696000000002
1404,211.88,40,30,8475.2,5932.64,1186.528
1405,382.34,33,10,12617.22,11355.498,2271.0996
1406,405.04,39,15,15796.560000000001,13427.076000000001,2685.4152000000004
1407,384.63,2,5,769.26,730.7969999999999,146.15939999999998
1408,424.71,46,5,19536.66,18559.826999999997,3711.9653999999996
1409,136.55,9,20,1228.95,983.1600000000001,196.63200000000003
1410,362.41,38,5,13771.580000000002,13083.001,2616.6002000000003
1411,361.81,50,20,18090.5,14472.400000000001,2894.4800000000005
1412,75.25,43,30,3235.75,2265.0249999999996,453.00499999999994
1413,254.6,16,5,4073.6,3869.9199999999996,773.9839999999999
1414,478.46,50,10,23923.0,21530.7,4306.14
1415,188.92,43,30,8123.5599999999995,5686.491999999999,1137.2984
1416,168.11,45,10,7564.950000000001,6808.455000000001,1361.6910000000003
1417,408.35,29,0,11842.150000000001,11842.150000000001,2368.4300000000003
1418,18.03,16,10,288.48,259.632,51.9264
1419,366.6,40,5,14664.0,13930.8,2786.16
1420,17.94,19,10,340.86,306.774,61.354800000000004
1421,299.66,11,5,3296.26,3131.447,626.2894000000001
1422,464.46,6,5,2786.7599999999998,2647.4219999999996,529.4843999999999
1423,164.86,45,10,7418.700000000001,6676.830000000001,1335.3660000000002
1424,140.29,13,5,1823.77,1732.5815,346.5163
1425,86.53,10,5,865.3,822.035,164.407
1426,48.68,45,0,2190.6,2190.6,438.12
1427,137.57,12,0,1650.84,1650.84,330.168
1428,113.83,2,0,227.66,227.66,45.532000000000004
1429,322.51,2,15,645.02,548.2669999999999,109.65339999999999
1430,223.65,20,0,4473.0,4473.0,894.6
1431,269.63,21,30,5662.23,3963.5609999999992,792.7121999999999
1432,92.13,24,10,2211.12,1990.008,398.00160000000005
1433,193.89,8,30,1551.12,1085.7839999999999,217.15679999999998
1434,465.97,33,20,15377.01,12301.608,2460.3216
1435,178.37,31,10,5529.47,4976.523,995.3046
1436,101.3,32,20,3241.6,2593.28,518.6560000000001
1437,161.69,7,30,1131.83,792.281,158.4562
1438,139.58,42,15,5862.360000000001,4983.006,996.6012000000001
1439,465.98,14,30,6523.72,4566.604,913.3208000000001
1440,383.75,39,30,14966.25,10476.375,2095.275
1441,360.49,2,10,720.98,648.8820000000001,129.77640000000002
1442,264.21,6,10,1585.2599999999998,1426.734,285.3468
1443,393.28,26,5,10225.279999999999,9714.015999999998,1942.8031999999996
1444,57.37,50,20,2868.5,2294.8,458.96000000000004
1445,377.92,23,30,8692.16,6084.512,1216.9024
1446,159.96,30,20,4798.8,3839.0400000000004,767.8080000000001
1447,42.49,17,0,722.33,722.33,144.466
1448,33.04,40,0,1321.6,1321.6,264.32
1449,469.84,42,20,19733.28,15786.624,3157.3248000000003
1450,61.2,44,30,2692.8,1884.96,376.992
1451,23.49,22,0,516.78,516.78,103.356
1452,292.77,40,10,11710.8,10539.72,2107.944
1453,381.16,19,0,7242.040000000001,7242.040000000001,1448.4080000000004
1454,47.72,44,0,2099.68,2099.68,419.936
1455,172.77,49,15,8465.730000000001,7195.870500000001,1439.1741000000002
1456,356.33,5,20,1781.6499999999999,1425.32,285.064
1457,351.11,48,5,16853.28,16010.615999999998,3202.1232
1458,317.76,2,20,635.52,508.416,101.6832
1459,217.89,45,20,9805.05,7844.04,1568.808
1460,161.48,36,30,5813.28,4069.2959999999994,813.8591999999999
1461,136.56,2,15,273.12,232.152,46.4304
1462,134.51,6,20,807.06,645.648,129.1296
1463,36.2,5,15,181.0,153.85,30.77
1464,381.87,29,0,11074.23,11074.23,2214.846
1465,45.09,46,20,2074.1400000000003,1659.3120000000004,331.8624000000001
1466,110.51,44,10,4862.4400000000005,4376.196000000001,875.2392000000002
1467,164.2,9,15,1477.8,1256.1299999999999,251.226
1468,100.6,6,5,603.5999999999999,573.4199999999998,114.68399999999997
1469,31.29,2,15,62.58,53.193,10.6386
1470,307.21,50,20,15360.499999999998,12288.4,2457.6800000000003
1471,247.4,21,10,5195.400000000001,4675.860000000001,935.1720000000001
1472,48.58,47,5,2283.2599999999998,2169.0969999999998,433.8194
1473,402.21,8,30,3217.68,2252.3759999999997,450.4752
1474,415.59,4,30,1662.36,1163.6519999999998,232.73039999999997
1475,213.44,3,10,640.3199999999999,576.288,115.25760000000001
